date,score,confidence
2026-07-02,98.44389844389843,0.5
2026-07-03,99.83633387888707,0.5
2026-07-04,99.83633387888707,0.5
2026-07-05,99.83619983619984,0.5
2026-07-06,99.8360655737705,0.5
2026-07-07,98.44389844389843,0.5
2026-07-08,97.37919737919738,0.5
2026-07-09,97.62489762489764,0.5
2026-07-10,98.28150572831424,0.5
2026-07-11,98.28150572831424,0.5
2026-07-12,98.28009828009829,0.5
2026-07-13,96.56019656019656,0.5
2026-07-14,96.47829647829649,0.5
2026-07-15,96.56019656019656,0.5
2026-07-17,95.74468085106383,0.5
2026-07-18,95.74468085106383,0.5
2026-07-19,95.74119574119574,0.5
2026-07-20,95.7377049180328,0.5
2026-07-21,95.81967213114754,0.5
2026-07-22,95.986895986896,0.5
2026-07-23,95.99018003273322,0.5
