date,score,confidence
2026-07-02,99.5085995085995,0.3
2026-07-03,99.83633387888707,0.3
2026-07-04,99.83633387888707,0.3
2026-07-05,99.83619983619984,0.3
2026-07-06,99.8360655737705,0.3
2026-07-07,98.6895986895987,0.3
2026-07-08,98.52579852579852,0.3
2026-07-09,99.26289926289928,0.3
2026-07-10,99.2635024549918,0.3
2026-07-11,99.2635024549918,0.3
2026-07-12,99.26289926289928,0.3
2026-07-13,99.26289926289928,0.3
2026-07-14,98.6076986076986,0.3
2026-07-15,99.83619983619984,0.3
2026-07-17,98.03600654664486,0.3
