date,score,confidence
2026-07-02,90.35087719298248,0.5
2026-07-03,90.35087719298248,0.5
2026-07-04,90.35087719298248,0.5
2026-07-05,90.35087719298248,0.5
2026-07-06,90.34317637669594,0.5
2026-07-07,90.42298483639266,0.5
2026-07-08,89.23444976076556,0.5
2026-07-09,89.07496012759171,0.5
2026-07-10,88.12749003984064,0.5
2026-07-11,88.12749003984064,0.5
2026-07-12,88.11802232854863,0.5
2026-07-13,85.48644338118022,0.5
2026-07-14,82.53588516746412,0.5
2026-07-15,79.26634768740031,0.5
2026-07-17,77.45019920318725,0.5
2026-07-18,77.45019920318725,0.5
2026-07-19,77.43221690590111,0.5
2026-07-20,77.19298245614034,0.5
2026-07-21,78.22966507177034,0.5
2026-07-22,77.67145135566189,0.5
2026-07-23,77.35247208931419,0.5
2026-07-24,76.65338645418328,0.5
2026-07-25,76.65338645418328,0.5
2026-07-26,76.6347687400319,0.5
2026-07-27,80.46251993620415,0.5
2026-07-28,77.99043062200957,0.5
2026-07-29,76.15629984051037,0.5
2026-07-30,78.8676236044657,0.5
2026-07-31,79.52191235059762,0.5
2026-08-01,79.52191235059762,0.5
2026-08-02,79.50558213716108,0.5
2026-08-03,84.29027113237639,0.5
2026-08-04,90.4382470119522,0.5
2026-08-05,86.36363636363636,0.5
2026-08-07,88.12749003984064,0.5
2026-08-08,88.12749003984064,0.5
2026-08-09,88.11802232854863,0.5
2026-08-10,87.16108452950559,0.5
2026-08-11,87.48006379585327,0.5
2026-08-12,88.3572567783094,0.5
2026-08-13,88.3572567783094,0.5
2026-08-14,88.52589641434263,0.5
2026-08-15,88.52589641434263,0.5
2026-08-16,88.59649122807018,0.5
2026-08-17,88.3572567783094,0.5
2026-08-18,86.76236044657098,0.5
2026-08-19,85.96491228070175,0.5
2026-08-20,83.41307814992025,0.5
