date,score,confidence
2026-07-02,94.90616621983914,0.3
2026-07-03,96.524064171123,0.3
2026-07-04,96.524064171123,0.3
2026-07-05,96.524064171123,0.3
2026-07-06,96.524064171123,0.3
2026-07-07,93.61702127659576,0.3
2026-07-08,93.10344827586206,0.3
2026-07-09,95.23809523809524,0.3
2026-07-10,94.72295514511872,0.3
2026-07-11,94.72295514511872,0.3
2026-07-12,94.72295514511872,0.3
2026-07-13,92.10526315789474,0.3
2026-07-14,92.1259842519685,0.3
2026-07-15,93.45549738219894,0.3
2026-07-17,89.32291666666666,0.3
2026-07-18,89.32291666666666,0.3
2026-07-19,89.32291666666666,0.3
2026-07-20,89.32291666666666,0.3
2026-07-21,90.12987012987011,0.3
2026-07-22,90.93264248704664,0.3
