target,name_ja,layer,score,confidence_pct,data_coverage_pct,note,n_indicators
xrp_real_demand,XRP総合実需スコア,crypto_xrp,57.0,0.55,0.5,,2
xrp_lock_demand,XRPロック需要スコア(需給ショック),crypto_xrp,100.0,0.103,0.143,ロック需要スコアは AMM内XRP残高(主代理)・RLUSD供給残高・XRPL TVL の加重合成。Lending/RWAデータは無料取得不可のため confidence は中程度(~69%)。本格化以上の判定には「信頼度: 中／代理ベース」を必ず確認すること。,1
