label,score,confidence_pct,data_coverage_pct,change_1d,change_1w,change_1m,note
real_demand_index,93.3,0.708,0.273,-0.6,0.2,-4.8,AI/半導体の実需を無料データで近似。GPUクラウド価格・HBM価格等の一次指標は取得不可のためconfidenceは中程度に留まる。
ai_bubble_score,83.3,0.51,0.364,-6.2,-6.3,-1.8,株価・金利・VIXから過熱度を近似。PER等バリュエーション指標・OpenAI評価額・ETF流入は取得不可のため未算入。
