indicator,target,feature,lag_days,horizon_days,spearman_r,spearman_p,pearson_r,pearson_p,n_obs,q_spearman
xrp_price,xrp,xrp_price_ma30,14,7,-0.1125,1.8182475937954624e-06,-0.0815,0.0005532694798210225,1791,0.0
xrp_price,xrp,xrp_price_ma90,14,7,-0.0984,3.543773070771631e-05,-0.0899,0.00015843364059605995,1761,0.0001
xrp_price,xrp,xrp_price_mom21,14,7,-0.0744,0.0016568885545698282,-0.0484,0.04076733282206913,1784,0.0033
xrp_price,xrp,xrp_price_yoy252,14,7,-0.0037,0.883363165630252,-0.0046,0.8551457509134012,1553,0.9199
xrp_price,xrp,xrp_price_zscore,14,7,-0.0253,0.29035441607703427,0.0001,0.9979864430185363,1743,0.3791
xrp_price,xrp,xrp_price_dz,14,30,-0.0963,6.999171828116233e-05,-0.0716,0.003140975878339899,1699,0.0002
xrp_price,xrp,xrp_price_ma30,14,30,-0.21,4.608429335629337e-19,-0.1406,2.930509790742661e-09,1768,0.0
xrp_price,xrp,xrp_price_ma90,14,30,-0.189,1.9289887141647368e-15,-0.145,1.2530734374825564e-09,1738,0.0
xrp_price,xrp,xrp_price_mom21,14,30,-0.1085,5.036339423481936e-06,-0.0157,0.5112904602391712,1761,0.0
xrp_price,xrp,xrp_price_yoy252,14,30,0.0257,0.3156439664421653,-0.0287,0.2613203922972691,1530,0.4098
xrp_price,xrp,xrp_price_zscore,14,30,-0.0221,0.36054384219402086,-0.0047,0.8468439308508503,1720,0.4543
xrp_price,xrp,xrp_price_dz,14,60,-0.0985,5.51247104180394e-05,-0.0493,0.044226791896731905,1669,0.0001
xrp_price,xrp,xrp_price_ma30,14,60,-0.3756,2.3425920459330353e-59,-0.1969,1.1733929270941203e-16,1738,0.0
xrp_price,xrp,xrp_price_ma90,14,60,-0.3494,3.2837149452591225e-50,-0.1954,3.698206028851933e-16,1708,0.0
xrp_price,xrp,xrp_price_mom21,14,60,-0.0688,0.004167680267698528,-0.027,0.2614741838516557,1731,0.0078
xrp_price,xrp,xrp_price_yoy252,14,60,0.0664,0.010147917408580098,-0.053,0.04009312036961266,1500,0.0184
xrp_price,xrp,xrp_price_zscore,14,60,0.0238,0.3289084373522114,0.0208,0.39314660289511816,1690,0.4229
xrp_price,xrp,xrp_price_dz,14,90,-0.1013,4.0132974819565375e-05,-0.0672,0.006489466405251357,1639,0.0001
xrp_price,xrp,xrp_price_ma30,14,90,-0.4149,4.918664924251516e-72,-0.2141,3.7403228409360477e-19,1708,0.0
xrp_price,xrp,xrp_price_ma90,14,90,-0.4195,1.6121858567988997e-72,-0.2174,2.1587971399631306e-19,1678,0.0
xrp_price,xrp,xrp_price_mom21,14,90,-0.0928,0.00012635939938869046,-0.0508,0.03633279402983847,1701,0.0003
xrp_price,xrp,xrp_price_yoy252,14,90,0.0129,0.622467076619663,-0.0847,0.0011555683584155397,1470,0.7098
xrp_price,xrp,xrp_price_zscore,14,90,0.0847,0.0005484113760882249,0.0312,0.203861189665522,1660,0.0011
xrp_price,xrp,xrp_price_dz,14,120,-0.0529,0.033969646836819266,0.0295,0.2370816712982781,1609,0.0567
xrp_price,xrp,xrp_price_ma30,14,120,-0.4914,1.017988432058846e-102,-0.2481,5.972864257433427e-25,1678,0.0
xrp_price,xrp,xrp_price_ma90,14,120,-0.4896,4.2926622290344816e-100,-0.2538,1.2360745616777877e-25,1648,0.0
xrp_price,xrp,xrp_price_mom21,14,120,-0.0386,0.11477619957361282,-0.0216,0.3770496618602157,1671,0.1662
xrp_price,xrp,xrp_price_yoy252,14,120,-0.0712,0.006890941216840861,-0.1149,1.2298376416255477e-05,1440,0.0127
xrp_price,xrp,xrp_price_zscore,14,120,0.1199,1.2074306825134659e-06,0.0383,0.12224673952507684,1630,0.0
xrp_price,xrp,xrp_price_dz,30,1,-0.0199,0.4108486560121631,-0.0183,0.44913141299398235,1712,0.505
xrp_price,xrp,xrp_price_ma30,30,1,-0.0355,0.13441970332000153,-0.0293,0.21574642519968124,1781,0.1892
xrp_price,xrp,xrp_price_ma90,30,1,-0.0359,0.13307253579557504,-0.0322,0.17752775286203615,1751,0.1884
xrp_price,xrp,xrp_price_mom21,30,1,-0.0182,0.4440368099608927,0.0052,0.8254002574339031,1774,0.5354
xrp_price,xrp,xrp_price_yoy252,30,1,0.0148,0.561464967899242,0.0008,0.9752435958579718,1543,0.655
xrp_price,xrp,xrp_price_zscore,30,1,0.011,0.6463403829689032,0.0055,0.8205929169175272,1733,0.7271
xrp_price,xrp,xrp_price_dz,30,7,-0.023,0.34247137221692736,-0.0331,0.1719132279560696,1706,0.4337
xrp_price,xrp,xrp_price_ma30,30,7,-0.0909,0.00012481382114381217,-0.0859,0.00028965148933260686,1775,0.0003
xrp_price,xrp,xrp_price_ma90,30,7,-0.0873,0.0002597866055185701,-0.0903,0.00015883622796319352,1745,0.0005
xrp_price,xrp,xrp_price_mom21,30,7,-0.0258,0.27754079086847616,0.0114,0.631426187611978,1768,0.3643
xrp_price,xrp,xrp_price_yoy252,30,7,0.012,0.6396812870560988,-0.0073,0.774932865931359,1537,0.7229
xrp_price,xrp,xrp_price_zscore,30,7,0.0027,0.9099463982995295,0.011,0.6491214139610301,1727,0.9359
xrp_price,xrp,xrp_price_dz,30,30,0.0364,0.13557056466370282,0.0306,0.20970140127847103,1683,0.1898
xrp_price,xrp,xrp_price_ma30,30,30,-0.2003,2.5536343357927533e-17,-0.15,2.764196833527154e-10,1752,0.0
xrp_price,xrp,xrp_price_ma90,30,30,-0.1807,4.166914446130215e-14,-0.1458,1.2248646796919346e-09,1722,0.0
xrp_price,xrp,xrp_price_mom21,30,30,0.0415,0.08292846902546837,0.052,0.0297879710246686,1745,0.1274
xrp_price,xrp,xrp_price_yoy252,30,30,0.0815,0.001496384613215868,-0.0215,0.4027958990765001,1514,0.003
xrp_price,xrp,xrp_price_zscore,30,30,0.0502,0.038202569435479304,0.0584,0.01591169682399261,1704,0.0633
xrp_price,xrp,xrp_price_dz,30,60,-0.0929,0.0001550144448648071,-0.057,0.020455476946602904,1653,0.0003
xrp_price,xrp,xrp_price_ma30,30,60,-0.3458,1.510637756871284e-49,-0.194,4.6161286860443465e-16,1722,0.0
xrp_price,xrp,xrp_price_ma90,30,60,-0.3455,1.2455679191933634e-48,-0.1938,8.75363055081435e-16,1692,0.0
xrp_price,xrp,xrp_price_mom21,30,60,-0.0781,0.0012022835637710348,-0.0393,0.10402333686653709,1715,0.0025
xrp_price,xrp,xrp_price_yoy252,30,60,0.0327,0.20840152918028124,-0.068,0.008806235138828647,1484,0.2793
xrp_price,xrp,xrp_price_zscore,30,60,0.0566,0.020661395648526117,0.0372,0.12802866309807037,1674,0.0349
xrp_price,xrp,xrp_price_dz,30,90,0.0473,0.05676227758968334,0.0322,0.19544585010121623,1623,0.0929
xrp_price,xrp,xrp_price_ma30,30,90,-0.4042,1.7172665485940317e-67,-0.2139,5.762887235840253e-19,1692,0.0
xrp_price,xrp,xrp_price_ma90,30,90,-0.4156,2.030030752538371e-70,-0.2185,2.0719861021204493e-19,1662,0.0
xrp_price,xrp,xrp_price_mom21,30,90,0.0565,0.020428463680179608,-0.0039,0.8724119468364844,1685,0.0348
xrp_price,xrp,xrp_price_yoy252,30,90,-0.0074,0.7765621399122753,-0.0891,0.0006661500344674046,1454,0.8327
xrp_price,xrp,xrp_price_zscore,30,90,0.1528,4.742067770408903e-10,0.0722,0.0034116142925416956,1644,0.0
xrp_price,xrp,xrp_price_dz,30,120,-0.0139,0.5804951952102048,0.042,0.09396625805339379,1593,0.6737
xrp_price,xrp,xrp_price_ma30,30,120,-0.4653,4.56839227732982e-90,-0.2474,1.3658404659551521e-24,1662,0.0
xrp_price,xrp,xrp_price_ma90,30,120,-0.4797,1.114658235338538e-94,-0.2545,1.513762906962071e-25,1632,0.0
xrp_price,xrp,xrp_price_mom21,30,120,-0.0099,0.6870211791609194,-0.0126,0.6075735152398191,1655,0.7661
xrp_price,xrp,xrp_price_yoy252,30,120,-0.1119,2.3245494736110964e-05,-0.126,1.8374475264143365e-06,1424,0.0001
xrp_price,xrp,xrp_price_zscore,30,120,0.1191,1.5930506076818828e-06,0.0205,0.41090458983479256,1614,0.0
xrp_price,xrp,xrp_price_dz,60,1,0.0017,0.9448592739242506,0.0055,0.8224939225840672,1682,0.9679
xrp_price,xrp,xrp_price_ma30,60,1,-0.0411,0.08564775596123007,-0.0351,0.1423842416229647,1751,0.1301
xrp_price,xrp,xrp_price_ma90,60,1,-0.0408,0.09072218981074122,-0.0342,0.15662017351361615,1721,0.1361
xrp_price,xrp,xrp_price_mom21,60,1,0.0166,0.48773432396463084,-0.0136,0.5715448269987943,1744,0.5776
xrp_price,xrp,xrp_price_yoy252,60,1,0.021,0.41387312286403993,-0.0045,0.8597301284318033,1513,0.5063
xrp_price,xrp,xrp_price_zscore,60,1,0.022,0.3637229837011767,0.011,0.6509758781273636,1703,0.456
xrp_price,xrp,xrp_price_dz,60,7,0.0014,0.9549392740378919,-0.0397,0.10426318764086936,1676,0.9743
xrp_price,xrp,xrp_price_ma30,60,7,-0.1001,2.7874625012624488e-05,-0.0957,6.232378076883194e-05,1745,0.0001
xrp_price,xrp,xrp_price_ma90,60,7,-0.0983,4.517712935893222e-05,-0.0925,0.0001245316871151946,1715,0.0001
xrp_price,xrp,xrp_price_mom21,60,7,0.0187,0.4353363940468545,-0.0605,0.011581046030896054,1738,0.5274
xrp_price,xrp,xrp_price_yoy252,60,7,0.0055,0.8319968910921716,-0.0261,0.3121448034601,1507,0.8847
xrp_price,xrp,xrp_price_zscore,60,7,0.0133,0.5827711303092226,-0.0004,0.9872446457159753,1697,0.6737
xrp_price,xrp,xrp_price_dz,60,30,-0.2197,1.5927302880294882e-19,-0.119,1.2257177257059653e-06,1653,0.0
xrp_price,xrp,xrp_price_ma30,60,30,-0.1716,7.468669782574336e-13,-0.1391,6.829453552861607e-09,1722,0.0
xrp_price,xrp,xrp_price_ma90,60,30,-0.1907,2.549529676709139e-15,-0.1422,4.205128954581623e-09,1692,0.0
xrp_price,xrp,xrp_price_mom21,60,30,-0.1991,8.458471078859787e-17,-0.1038,1.6533616573223676e-05,1715,0.0
xrp_price,xrp,xrp_price_yoy252,60,30,-0.0408,0.11612904052449992,-0.0687,0.008087816383956167,1484,0.167
xrp_price,xrp,xrp_price_zscore,60,30,-0.0116,0.6362114877190441,-0.0027,0.9112997068858157,1674,0.7222
xrp_price,xrp,xrp_price_dz,60,60,-0.0221,0.3734794022347306,0.0137,0.5805446770554082,1623,0.4659
xrp_price,xrp,xrp_price_ma30,60,60,-0.3143,4.191272433340706e-40,-0.1855,1.464590724330297e-14,1692,0.0
xrp_price,xrp,xrp_price_ma90,60,60,-0.3438,2.5682551199577136e-47,-0.1944,1.2684119460942328e-15,1662,0.0
xrp_price,xrp,xrp_price_mom21,60,60,-0.0094,0.6995028943302658,-0.0334,0.17034648134793784,1685,0.7731
xrp_price,xrp,xrp_price_yoy252,60,60,-0.0618,0.01850536239719833,-0.0893,0.0006564589357674212,1454,0.0319
xrp_price,xrp,xrp_price_zscore,60,60,0.128,1.9068831075484152e-07,0.0563,0.0223289154719953,1644,0.0
xrp_price,xrp,xrp_price_dz,60,90,-0.0629,0.012070933025945928,0.0281,0.2622978713898058,1593,0.0214
xrp_price,xrp,xrp_price_ma30,60,90,-0.3814,1.0920054176816254e-58,-0.2096,5.867532514412415e-18,1662,0.0
xrp_price,xrp,xrp_price_ma90,60,90,-0.4067,4.965610921217337e-66,-0.2206,1.9742142457391196e-19,1632,0.0
xrp_price,xrp,xrp_price_mom21,60,90,-0.0619,0.01181735251574328,-0.0335,0.17301751294813184,1655,0.0211
xrp_price,xrp,xrp_price_yoy252,60,90,-0.1482,1.9051397775969206e-08,-0.1169,9.763838115358583e-06,1424,0.0
xrp_price,xrp,xrp_price_zscore,60,90,0.0916,0.00022795668282660927,-0.0022,0.9285061001910763,1614,0.0005
xrp_price,xrp,xrp_price_dz,60,120,0.05,0.04819018189243801,0.0772,0.0022453938432630905,1563,0.0794
xrp_price,xrp,xrp_price_ma30,60,120,-0.4449,3.886005342912531e-80,-0.2469,4.421160711765474e-24,1632,0.0
xrp_price,xrp,xrp_price_ma90,60,120,-0.4821,5.281337329897091e-94,-0.2594,4.733177982191938e-26,1602,0.0
xrp_price,xrp,xrp_price_mom21,60,120,0.0365,0.1409533243511732,-0.0038,0.878517865620433,1625,0.1962
xrp_price,xrp,xrp_price_yoy252,60,120,-0.1826,6.502132431251343e-12,-0.1338,5.334689333396344e-07,1394,0.0
xrp_price,xrp,xrp_price_zscore,60,120,0.0733,0.0034951987829452682,-0.0484,0.05388221212780333,1584,0.0067
xrp_price,xrp,xrp_price_dz,90,1,-0.0041,0.8673529608868767,0.0004,0.9876816952346316,1652,0.9107
