target,name_ja,outlook,action,extended_score,confidence_pct,dip_decision,dip_score,sell_score,as_of
fanuc,ファナック,中立-強気,保有継続(監視),99.4,1.0,売り時候補,20.0,75.0,2026-07-03
fujikura,フジクラ,中立-強気,保有継続(監視),97.0,1.0,売り時候補,20.0,75.0,2026-07-03
harmonic,ハーモニック・ドライブ・システムズ,中立-強気,保有継続(監視),98.9,1.0,売り時候補,20.0,75.0,2026-07-03
kioxia,キオクシア,中立-強気,保有継続(監視),98.1,1.0,売り時候補,20.0,75.0,2026-07-03
lasertec_rorze,ローツェ,中立-強気,保有継続(監視),98.1,1.0,売り時候補,20.0,75.0,2026-07-03
murata,村田製作所,中立-強気,保有継続(監視),96.9,1.0,売り時候補,20.0,75.0,2026-07-03
qnt_token,Quant Network (QNT トークン),不明,要確認,,0.0,保有継続,40.0,30.0,2026-07-03
quantinuum,Quantinuum,不明,要確認,,0.0,,,,2026-07-03
spacex,SpaceX,不明,要確認,,0.0,,,,2026-07-03
tesla,Tesla,不明,要確認,,0.0,保有継続,40.0,30.0,2026-07-03
xrp,XRP,中立(要確認),保有継続,99.8,0.103,押し目候補,65.0,10.0,2026-07-03
yaskawa,安川電機,中立-強気,保有継続(監視),99.8,1.0,売り時候補,20.0,75.0,2026-07-03
